1,Aspirin,0,Relieves pain and reduces fever.,Pharma Inc.,100,20,2024-06-10
2,Disposable Gloves,1,Latex-free gloves for medical procedures.,MedSupply Co.,500,100,2024-06-15
3,Stethoscope,2,High-quality stethoscope for auscultation.,MedEquip Corp.,20,5,2024-06-20
4,Alcohol Swabs,1,Individually wrapped alcohol pads for skin cleaning.,MedSupply Co.,200,50,2024-06-25
5,First Aid Kit,1,Compact kit for basic first aid needs.,MedSupply Co.,10,2,2024-06-30
6,Insulin,0,Used to control blood sugar levels in diabetes.,Pharma Inc.,50,10,2024-07-05
7,Wheelchair,2,Foldable wheelchair for mobility assistance.,MedEquip Corp.,5,1,2024-07-10
8,Bandages,1,Elastic bandages for wound dressing.,MedSupply Co.,300,50,2024-07-15
9,Surgical Masks,1,Disposable masks for surgical and medical procedures.,MedSupply Co.,1000,200,2024-07-20
10,Thermometer,2,Digital thermometer for accurate temperature measurement.,MedEquip Corp.,30,5,2024-07-25
